,Make,Price,model,usage_km,fuel,transmission,color,fuel_economy,no_of_owner,registration,car_type,condition,condition_engine,condition_suspension,condition_brake,condition_transmission,condition_electrical,condition_ac,condition_exterior,condition_interior,condition_tyres
3843,Hyundai Creta,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,Automatic,Blue,Not Available,First,Borivali,5 Person,,,,,,,,,,
3844,Land Rover Discovery,₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
3845,Maruti Suzuki Ciaz,₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,Automatic,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3846,Maruti Suzuki Swift,₹ 8.25 Lakh,Nov 2020,"12,801 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3847,Hyundai Creta,₹ 12.8 Lakh,Sep 2018,"49,973 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.9/5"
3848,Nissan Micra,₹ 3.25 Lakh,Feb 2014,"63,855 km",Petrol,Manual,Silver,Not Available,Second,Pune,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Fair
2.3/5","Interior Excellent
4.7/5","Tyres Fair
1.5/5"
3849,Honda City,₹ 4.45 Lakh,Apr 2013,"77,727 km",Petrol,Automatic,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Fair
2.5/5"
3850,Honda City,₹ 5.95 Lakh,Jun 2015,"47,537 km",Petrol,Manual,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3851,Maruti Suzuki Baleno,₹ 7.25 Lakh,Jan 2019,"14,350 km",Petrol,Manual,Grey,Not Available,First,Karad,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.9/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.9/5","Tyres Good
3.1/5"
3852,Hyundai Xcent,₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.7/5"
3853,Maruti Suzuki Wagon R,₹ 4.41 Lakh,Mar 2016,"50,218 km",CNG,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
3854,Maruti Suzuki Celerio,₹ 4.75 Lakh,Jun 2016,"29,866 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
3855,Kia Seltos,₹ 14.4 Lakh,Jul 2019,"20,302 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3856,Ford Ecosport,₹ 5.3 Lakh,Sep 2013,"57,777 km",Diesel,Manual,Black,Not Available,First,Bhopal,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Good
2.7/5"
3857,Maruti Suzuki S-Presso,₹ 4.4 Lakh,Feb 2020,"27,214 km",Petrol,Manual,White,Not Available,First,Lucknow,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.6/5","Tyres Good
3.2/5"
3858,Maruti Suzuki Baleno,₹ 5.5 Lakh,Jan 2017,"32,828 km",Petrol,Manual,Silver,Not Available,First,Lucknow,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Good
3.2/5","Interior Excellent
4.7/5","Tyres Good
3.2/5"
3859,Renault Kwid,₹ 4.4 Lakh,Dec 2018,"23,592 km",Petrol,Manual,Blue,Not Available,First,Hyderabad,5 Person,,"Engine Excellent
4.2/5","Engine Excellent
4.2/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3860,Mercedes-Benz E-Class,₹ 92 Lakh,Mar 2022,"2,157 km",Diesel,Automatic,Black,Not Available,First,Mumbai,5 Person,,"Engine Excellent
5/5","Engine Excellent
5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Excellent
5/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
3861,Mercedes-Benz GLA,₹ 41 Lakh,Jul 2019,"21,900 km",Diesel,Automatic,Grey,Not Available,UnRegistered Car,Not Available,5 Person,,,,,,,,,,
3862,Skoda Octavia,₹ 13.95 Lakh,Jun 2017,"36,000 km",Petrol,Manual,Silver,Not Available,First,Not Available,5 Person,,,,,,,,,,
3863,Aston Martin Vantage,₹ 69.75 Lakh,Mar 2013,"19,000 km",Petrol,Automatic,White,Not Available,Second,Not Available,2 Person,"New Tyres, Just Serviced in Company, Highly Maintained sparingly Used, Certified car.....Certification Of 100% Non Accident with Genuine Kms. with Service History Visit www.karmaxcars.com",,,,,,,,,
3864,Audi A6,₹ 25 Lakh,Jun 2015,"71,000 km",Diesel,Automatic,Black,Not Available,First,Not Available,5 Person,"Good Condition, Non Accidental, Original Paint, Less Driven, Certified Car, Single Owner, Alloy Wheels, Rear view Camera, Finance Available, Test Drive Available & Service History Available",,,,,,,,,
3865,Volkswagen Polo,₹ 6.4 Lakh,Dec 2018,"60,000 km",Petrol,Manual,Brown,Not Available,First,Not Available,5 Person,"Polo, Trendline, Petrol, 2018/2019 Registered, Brown Color, Single Owner, TN63 Registration Vehicle, Exchange Available, Displayed Multi branded Cars, Price Slightly Negotiable.",,,,,,,,,
3866,Nissan Terrano,₹ 3.5 Lakh,Dec 2013,"63,000 km",Diesel,Manual,Bronze,Not Available,First,Not Available,5 Person,,,,,,,,,,
3867,Jaguar XJ,₹ 28.5 Lakh,Jun 2014,"42,000 km",Diesel,Automatic,White,Not Available,First,Not Available,5 Person,"Immaculate Condition, Single Owner, Finance Available & Service History Available",,,,,,,,,
3868,Hyundai Santa Fe,₹ 9.75 Lakh,Jun 2015,"97,000 km",Diesel,Automatic,Silver,Not Available,Second,Not Available,7 Person,Immaculate Condition & Service History Available,,,,,,,,,
3869,Maruti Suzuki Celerio,₹ 5.5 Lakh,Oct 2018,"69,303 km",Petrol,Manual,Red,Not Available,First,pune,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
3870,Maruti Suzuki Celerio,₹ 5.85 Lakh,Aug 2019,"43,560 km",CNG,Manual,Grey,Not Available,First,Kalyan,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
3871,Maruti Suzuki Celerio,₹ 3.94 Lakh,Jan 2015,"51,031 km",Petrol,Manual,Grey,Not Available,First,panvel,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
3872,MG Hector,₹ 18 Lakh,Feb 2021,"27,200 km",Petrol,Automatic,White,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
3873,Maruti Suzuki Ritz,₹ 4.5 Lakh,Jun 2014,"53,751 km",Diesel,Manual,Silver,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
3874,Honda WR-V,₹ 9.2 Lakh,May 2019,"22,153 km",Petrol,Manual,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
3875,Hyundai Creta,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,Automatic,Blue,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
3876,Land Rover Discovery,₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
3877,Maruti Suzuki Ciaz,₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,Automatic,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3878,Maruti Suzuki Swift,₹ 8.25 Lakh,Nov 2020,"12,801 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3879,Hyundai Creta,₹ 12.8 Lakh,Sep 2018,"49,973 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.9/5"
3880,Nissan Micra,₹ 3.25 Lakh,Feb 2014,"63,855 km",Petrol,Manual,Silver,Not Available,Second,Pune,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Fair
2.3/5","Interior Excellent
4.7/5","Tyres Fair
1.5/5"
3881,Honda City,₹ 4.45 Lakh,Apr 2013,"77,727 km",Petrol,Automatic,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Fair
2.5/5"
3882,Honda City,₹ 5.95 Lakh,Jun 2015,"47,537 km",Petrol,Manual,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3883,Maruti Suzuki Baleno,₹ 7.25 Lakh,Jan 2019,"14,350 km",Petrol,Manual,Grey,Not Available,First,Karad,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.9/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.9/5","Tyres Good
3.1/5"
3884,Hyundai Xcent,₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.7/5"
3885,Maruti Suzuki Wagon R,₹ 4.41 Lakh,Mar 2016,"50,218 km",CNG,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
3886,Maruti Suzuki Celerio,₹ 4.75 Lakh,Jun 2016,"29,866 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
3887,Kia Seltos,₹ 14.4 Lakh,Jul 2019,"20,302 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3888,Ford Ecosport,₹ 5.3 Lakh,Sep 2013,"57,777 km",Diesel,Manual,Black,Not Available,First,Bhopal,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Good
2.7/5"
3889,Maruti Suzuki S-Presso,₹ 4.4 Lakh,Feb 2020,"27,214 km",Petrol,Manual,White,Not Available,First,Lucknow,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.6/5","Tyres Good
3.2/5"
3890,Maruti Suzuki Baleno,₹ 5.5 Lakh,Jan 2017,"32,828 km",Petrol,Manual,Silver,Not Available,First,Lucknow,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Good
3.2/5","Interior Excellent
4.7/5","Tyres Good
3.2/5"
3891,Renault Kwid,₹ 4.4 Lakh,Dec 2018,"23,592 km",Petrol,Manual,Blue,Not Available,First,Hyderabad,5 Person,,"Engine Excellent
4.2/5","Engine Excellent
4.2/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3892,Mercedes-Benz E-Class,₹ 92 Lakh,Mar 2022,"2,157 km",Diesel,Automatic,Black,Not Available,First,Mumbai,5 Person,,"Engine Excellent
5/5","Engine Excellent
5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Excellent
5/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
3893,Ford Ecosport,₹ 6.2 Lakh,Mar 2016,"46,701 km",Petrol,Manual,Silver,Not Available,Second,pimpri Chinchwad,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.9/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
3894,Toyota Corolla Altis,₹ 14.25 Lakh,Jun 2018,"65,039 km",Petrol,Automatic,Gold,Not Available,First,Not Available,5 Person,"Immaculate Condition, Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Test Drive Available & Finance Available",,,,,,,,,
3895,Nissan Micra,₹ 4.3 Lakh,Dec 2014,"16,000 km",Petrol,Automatic,Green,Not Available,First,Not Available,5 Person,,,,,,,,,,
3896,Mahindra Scorpio,₹ 10.75 Lakh,Jun 2016,"66,000 km",Diesel,Manual,White,Not Available,Second,Not Available,7 & 8 Person,Good car,,,,,,,,,
3897,Maruti Suzuki Celerio,₹ 5.59 Lakh,Jun 2018,"40,200 km",CNG,Manual,Orange,Not Available,First,Not Available,5 Person,Car Warranty n Road Side Assistance Available on car...Company fitted CNG car,,,,,,,,,
3898,Maruti Suzuki Vitara Brezza,₹ 9.75 Lakh,Jan 2020,"25,364 km",Diesel,Automatic,Grey,Not Available,First,Pimpri Chinchwad,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Excellent
4.3/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.3/5"
3899,BMW 3-Series,₹ 26.5 Lakh,Jun 2017,"50,000 km",Diesel,Automatic,Grey,Not Available,First,Not Available,5 Person,well maintained,,,,,,,,,
3900,Skoda Octavia,₹ 29.9 Lakh,Jun 2017,"46,695 km",Petrol,Automatic,Silver,Not Available,First,Not Available,5 Person,Finance Available,,,,,,,,,
3901,Maruti Suzuki Celerio,₹ 5.5 Lakh,Oct 2018,"69,303 km",Petrol,Manual,Red,Not Available,First,pune,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
3902,Maruti Suzuki Swift,₹ 8.25 Lakh,Nov 2020,"12,801 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3903,Hyundai Creta,₹ 12.8 Lakh,Sep 2018,"49,973 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.9/5"
3904,MG Hector,₹ 18 Lakh,Feb 2021,"27,200 km",Petrol,Automatic,White,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
3905,Maruti Suzuki Ritz,₹ 4.5 Lakh,Jun 2014,"53,751 km",Diesel,Manual,Silver,Not Available,First,Mumbai,5 Person,,,,,,,,,,
3906,Honda WR-V,₹ 9.2 Lakh,May 2019,"22,153 km",Petrol,Manual,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
3907,Hyundai Creta,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,Automatic,Blue,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
3908,Land Rover Discovery,₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
3909,Maruti Suzuki Ciaz,₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,Automatic,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
3910,Nissan Micra,₹ 3.25 Lakh,Feb 2014,"63,855 km",Petrol,Manual,Silver,Not Available,Second,Pune,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Fair
2.3/5","Interior Excellent
4.7/5","Tyres Fair
1.5/5"
3911,Honda City,₹ 4.45 Lakh,Apr 2013,"77,727 km",Petrol,Automatic,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Fair
2.5/5"
3912,Honda City,₹ 5.95 Lakh,Jun 2015,"47,537 km",Petrol,Manual,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3913,Maruti Suzuki Baleno,₹ 7.25 Lakh,Jan 2019,"14,350 km",Petrol,Manual,Grey,Not Available,First,Karad,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.9/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.9/5","Tyres Good
3.1/5"
3914,Hyundai Xcent,₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.7/5"
3915,Maruti Suzuki Wagon R,₹ 4.41 Lakh,Mar 2016,"50,218 km",CNG,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
3916,Maruti Suzuki Celerio,₹ 4.75 Lakh,Jun 2016,"29,866 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
3917,Maruti Suzuki Celerio,₹ 5.85 Lakh,Aug 2019,"43,560 km",CNG,Manual,Grey,Not Available,First,Kalyan,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
3918,Maruti Suzuki Celerio,₹ 3.94 Lakh,Jan 2015,"51,031 km",Petrol,Manual,Grey,Not Available,First,panvel,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
3919,Kia Seltos,₹ 14.4 Lakh,Jul 2019,"20,302 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
3920,Tata Tigor,₹ 5.36 Lakh,Nov 2017,"39,073 km",Petrol,Manual,Brown,Not Available,First,jharkhand,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.8/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.4/5"
