,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
89,2022 Toyota Fortuner,2.8 4x2 MT [2016-2020],₹ 35.99 Lakh,Jun-22,"15,788 km",Diesel,14.24 kmpl,Manual,White,Not Available,First,Registered at,"2022 mew model, tax paid, Manual transfer, test drive available, finance available.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
90,2018 Hyundai Verna,Fluidic 1.6 CRDi SX Opt,₹ 9.35 Lakh,Jun-18,"37,222 km",Diesel,FWD ,Manual,Silver,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
91,2015 Mercedes-Benz S-Class,S 350 CDI,₹ 32.99 Lakh,Jun-15,"41,000 km",Diesel,"Automatic - 7 Gears, Paddle Shift ",Automatic,White,Not Available,First,Registered at,"2015 model tax fail, test drive available, maintained by owner, very good condition.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
92,2014 Audi A6,2.0 TDI Premium Plus,₹ 16.25 Lakh,Jun-14,"34,085 km",Diesel,16.66 kmpl,Automatic,Grey,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
93,2011 Audi A6,2.7 TDI,₹ 9.95 Lakh,Jun-11,"59,292 km",Diesel,4WD / AWD ,Automatic,White,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
94,2015 Hyundai Verna,1.6 CRDI SX,₹ 5.75 Lakh,Jun-15,"75,840 km",Diesel,FWD ,Manual,White,Not Available,Second,Registered at,"Good Condition, Non Accidental, Original Paint, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
95,2016 Mahindra Scorpio,S10,₹ 10.49 Lakh,Jun-16,"23,458 km",Diesel,15.4 kmpl,Manual,Silver,Not Available,First,Registered at,"2016 model tax upto 2026, finance available, test drive available, Diesel, maintain by owner.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
96,2018 Mercedes-Benz C-Class Cabriolet,C 300,₹ 60.99 Lakh,Jun-18,"8,837 km",Petrol,RWD ,Automatic,Black,Not Available,Second,Registered at,"2018 model tax paid, finance available, test drive available, less driven, petrol.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
97,2021 Hyundai Alcazar,Prestige 7 STR 1.5 Diesel,₹ 16.49 Lakh,Jun-21,"4,033 km",Diesel,20.4 kmpl,Manual,Black,Not Available,First,Registered at,"2021 model tax upto 2026, finance available, test drive available,4033km running, Diesel.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
98,2019 Hyundai Tucson,GL 2WD AT Petrol,₹ 17.95 Lakh,Jun-19,"15,500 km",Petrol,12.95 kmpl,Automatic,Silver,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available, Rear view Camera, Service History Available, Test Drive Available & VIP Number",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
99,2021 Audi A4,Technology 40 TFSI,₹ 41 Lakh,Jun-21,"10,500 km",Petrol,188 bhp @ 4200 rpm ,Automatic,Blue,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available & VIP Number",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
100,2019 Mahindra XUV500,W9 AT,₹ 13.99 Lakh,Jun-19,"24,735 km",Diesel,13.85 kmpl,Automatic,Red,Not Available,First,Registered at,"2019 model tax upto 2024, finance available, test drive available,less driven car, maintain by owner.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
101,2021 Hyundai Verna,SX 1.5 CRDi,₹ 12.75 Lakh,Jun-21,"27,469 km",Diesel,25 kmpl,Manual,White,Not Available,First,Registered at,"2021 model tax upto 2026, finance available, test drive available,less driven car.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
102,2012 Skoda Superb,Elegance 2.0 TDI CR AT,₹ 5.75 Lakh,Jun-12,"53,422 km",Diesel,17.2 kmpl,Automatic,Grey,Not Available,First,Registered at,"Good Condition, Non Accidental, Original Paint, Finance Available & Test Drive Available, tax upto 2027, all services records available,last service done from last 5 days back from skoda",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
103,2017 Jeep Compass,Limited (O) 2.0 Diesel 4x4 [2017-2020],₹ 14.95 Lakh,Jun-17,"46,991 km",Diesel,AWD ,Manual,Red,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
104,2018 Mahindra XUV500,W11 (O) AWD,₹ 13.8 Lakh,Jun-18,"57,224 km",Diesel,AWD ,Manual,Brown,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
105,2013 Audi TT,2.0 TFSI Quattro,₹ 25.95 Lakh,Jun-13,"25,000 km",Petrol,"Automatic - 6 Gears, Manual Override ",Automatic,Black,Not Available,Second,Registered at,"Very Good Condition, Less Driven, Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Service History Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
106,2016 Land Rover Discovery Sport,HSE Luxury 7-Seater,₹ 32.99 Lakh,Jun-16,"39,156 km",Diesel,"Automatic - 9 Gears, Sport Mode ",Automatic,Blue,Not Available,First,Registered at,"2016 model tax life time, finance available, test drive available,less driven car.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
107,2017 Volkswagen Vento,Highline Diesel AT [2015-2016],₹ 7.49 Lakh,Jun-17,"57,341 km",Diesel,21.5 kmpl,Automatic,Gold,Not Available,First,Registered at,"Very Good Condition, DSG Auto Transmission, Certified Car, Non Accidental, Original Paint & Test Drive Available, tax upto 2027",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
108,2018 Honda City,VX (O) MT Diesel,₹ 8.85 Lakh,Jun-18,"34,178 km",Diesel,FWD ,Manual,Brown,Not Available,First,Registered at,"Immaculate Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
109,2013 Audi A6,2.0 TDI Premium,₹ 14.25 Lakh,Jun-13,"52,039 km",Diesel,16.66 kmpl,Automatic,White,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
110,2012 Porsche Cayenne,Diesel,₹ 32 Lakh,Jun-12,"25,000 km",Diesel,13.88 kmpl,Automatic,White,Not Available,First,Registered at,"Porsche Cayenne diesel 2012 December 1st owner done only 25,000 km top model with lots of loading panaromic sunroof rear camera navigation bose music system the said is bengali owned all through maintained and service done by the company in mint condition/original paint just like new 
the car can be inspected at Bharat petroleum pump opposite jodhpur park.

www.thebestbuy.co.in",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
111,2021 Jeep Compass,Limited (O) 2.0 Diesel 4x4 [2017-2020],₹ 26.49 Lakh,Jun-21,"26,806 km",Diesel,AWD ,Manual,White,Not Available,First,Registered at,"2021 model tax paid, finance available, test drive available, Diesel, less driven.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
112,2021 Hyundai Elantra,1.8 SX AT,₹ 17.5 Lakh,Jun-21,"9,500 km",Petrol,16.3 kmpl,Automatic,Black,Not Available,First,Registered at,"Immaculate Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available, Service History Available, Rear view Camera, Test Drive Available, VIP Number & Warranty Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
113,2014 Porsche Cayenne,Diesel,₹ 26 Lakh,Jun-14,"47,000 km",Diesel,13.88 kmpl,Automatic,Bronze,Not Available,First,Registered at,"Immaculate Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
114,2020 Mercedes-Benz GLC,220d 4MATIC Progressive [2019-2021],₹ 57 Lakh,Jun-20,"13,000 km",Diesel,AWD ,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available, Warranty Available & VIP Number",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
115,2014 Audi A6,2.0 TDI Premium,₹ 17.25 Lakh,Jun-14,"51,872 km",Diesel,16.66 kmpl,Automatic,Bronze,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
116,2015 BMW 3-Series,320d Luxury Line,₹ 20.55 Lakh,Jun-15,"30,698 km",Diesel,22.69 kmpl,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Test Drive Available & Roadside Assistance Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
117,2016 Toyota Corolla Altis,G AT Petrol,₹ 9.25 Lakh,Jun-16,"35,204 km",Petrol,16.7 kmpl,Automatic,Gold,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
118,2014 Audi A4,2.0 TDI (177bhp) Premium Plus,₹ 14.5 Lakh,Jun-14,"34,947 km",Diesel,17.11 kmpl,Automatic,Black,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Doctor Driven, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
119,2018 BMW 3-Series,320d Luxury Line [2014-2016],₹ 29.99 Lakh,Jun-18,"15,626 km",Diesel,RWD ,Automatic,White,Not Available,First,Registered at,"2018 model tax paid, finance available, test drive available, 15626km running only, maintained by owner, Doctor driven.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
120,2017 Mercedes-Benz CLA,200 CDI Style,₹ 22.99 Lakh,Jun-17,"45,315 km",Diesel,FWD ,Automatic,Silver,Not Available,First,Registered at,"2017 model tax paid, finance available, test drive available, original paint, price will be negotiable.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
121,2019 Mahindra XUV500,W11 AT,₹ 15.49 Lakh,Jun-19,"41,115 km",Diesel,15.1 kmpl,Automatic,Silver,Not Available,First,Registered at,"2019 model tax paid, less driven car, ex-showroom condition, finance available, test drive available.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
122,2020 Audi A6,Premium Plus 45 TFSI,₹ 49.99 Lakh,Jun-20,"23,492 km",Petrol,241 bhp @ 5000 rpm ,Automatic,Black,Not Available,First,Registered at,"2020 audi a6, ex-showroom condition, finance available, test drive available,less driven car, maintain by owner.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
123,2018 Volvo XC90,D5 AWD,₹ 48 Lakh,Jun-18,"48,000 km",Diesel,14.7 kmpl,Automatic,Black,Not Available,First,Registered at,"Immaculate Condition, Certified Car, Less Driven, Non Accidental, Single Owner, Original Paint, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
124,2012 Audi A6,2.0 TDI Technology Pack,₹ 11.99 Lakh,Jun-12,"81,604 km",Diesel,16.66 kmpl,Automatic,White,Not Available,First,Registered at,"2012 model tax life time, test drive available, Diesel.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
125,2013 Audi Q3,2.0 TDI quattro Premium Plus,₹ 10.99 Lakh,Jun-13,"57,551 km",Diesel,15.77 kmpl,Automatic,White,Not Available,Second,Registered at,"2013 model tax upto life time, finance available, test drive available, less driven, maintained by owner.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
126,2017 Land Rover Range Rover Sport,SDV6 HSE,₹ 74 Lakh,Jun-17,"56,500 km",Diesel,"Automatic - 8 Gears, Paddle Shift, Sport Mode ",Automatic,White,Not Available,Second,Registered at,"Non Accidental, Alloy Wheels, Rear view Camera, Excellent Condition, Less Driven, Original Paint, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
127,2019 Honda Jazz,V Petrol,₹ 5.25 Lakh,Jun-19,"36,104 km",Petrol,18.7 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
128,2011 BMW 3-Series,320d Highline Sedan,₹ 8.55 Lakh,Jun-11,"41,770 km",Diesel,18.7 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
129,2019 Honda WR-V,VX MT Diesel,₹ 8.1 Lakh,Jun-19,"20,839 km",Diesel,25.5 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
130,2019 Mercedes-Benz GLE,350 d,₹ 58.99 Lakh,Jun-19,"22,307 km",Diesel,"Automatic - 9 Gears, Paddle Shift, Sport Mode ",Automatic,Black,Not Available,First,Registered at,"2019 model tax upto 2024, finance available, test drive available, less driven car, ex-showroom condition.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
131,2013 Mercedes-Benz E-Class,E350 Cabriolet,₹ 27.99 Lakh,Jun-13,"31,965 km",Petrol,9.91 kmpl,Automatic,White,Not Available,First,Registered at,"2013 model tax upto 2023, finance available, test drive available, maintain by owner, lessdriven car.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
132,2017 Honda City,V CVT Petrol [2017-2019],₹ 7.95 Lakh,Jun-17,"22,577 km",Petrol,18 kmpl,Automatic,White,Not Available,First,Registered at,"Good Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
133,2022 Mahindra Thar,LX 4-STR Hard Top Petrol AT,₹ 16.25 Lakh,Jun-22,800 km,Petrol,4WD / AWD ,Automatic,Red,Not Available,First,Registered at,"Mahindra Thar LX 4 Str Hard Top petrol Automatic 3 days' old car done 800 km with extra fittings from the mahindra showroom worth 80,000 with rear camera side cladding  etc the car is just brand the car is having company warranty for 3 year's
the car can be inspected at Bharat petroleum pump opposite jodhpur park",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
134,2020 Toyota Innova,2.4 ZX AT 7 STR,₹ 22.5 Lakh,Jun-20,"35,000 km",Diesel,15.1 kmpl,Automatic,White,Not Available,First,Registered at,"Toyota Innova Crysta 2.4 ZX BS-BVI top variant done 35,000 km fully loaded with navigation leather seats touch screen music system drl headlamp etc. the car is in brand new condition the car has eco mode and power mode 
the car is in brand new condition all through maintained
the cad can be inspected at Bharat petroleum pump opposite jodhpur park",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
135,2022 Volvo XC40,T4 R-Design,₹ 44.75 Lakh,Jun-22,180 km,Petrol,187 bhp @ 5000 rpm ,Automatic,White,Not Available,First,Registered at,Volvo XC40 R design 5 days old top variant panaromic sunroof harman kardon music system rear camera park assist auto brake etc. this car is straight from the showroom and it is brand new no words to describe the car is no hypothecated it was outright purchase,4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
136,2016 Honda BR-V,S Diesel,₹ 7.65 Lakh,Jun-16,"21,056 km",Diesel,21.9 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
137,2017 Honda Amaze,1.5 E i-DTEC,₹ 4.75 Lakh,Jun-17,"43,193 km",Diesel,25.8 kmpl,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
138,2021 Audi S5 Sportback,3.0 TFSI Quattro,₹ 74 Lakh,Jun-21,"10,100 km",Petrol,349 bhp @ 5400 rpm ,Automatic,Blue,Not Available,First,Registered at,"Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Service History Available, Less Driven, Original Paint, Finance Available, Warranty Available & Immaculate Condition",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
139,2017 Honda City,V CVT Petrol [2017-2019],₹ 6.99 Lakh,Jun-17,"43,274 km",Petrol,18 kmpl,Automatic,Green,Not Available,First,Registered at,"2017 model tax paid, finance available, test drive available, less driven car.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
140,2019 Kia Seltos,HTK Plus AT 1.5 Diesel [2020-2021],₹ 13.99 Lakh,Jun-19,"24,669 km",Diesel,18 kmpl,Automatic,Maroon,Not Available,First,Registered at,"2019 model life time tax paid, finance available, test drive available, sunroof available, allow available.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
141,2019 Mercedes-Benz GLE,43 4MATIC [2017-2019],₹ 80 Lakh,Jun-19,"18,080 km",Petrol,"Automatic - 9 Gears, Paddle Shift ",Automatic,Red,Not Available,First,Registered at,"super condition, bumper to bumper original paint, finance available, test drive available, less driven car, ex-showroom condition.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
142,2022 Tata Safari,XZA Plus Gold,₹ 22.99 Lakh,Jun-22,"4,738 km",Diesel,350 Nm @ 1750 rpm ,Automatic,White,Not Available,First,Registered at,"new car, less driven car, ex-showroom condition, finance available, test drive available, Diesel.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
143,2021 Audi Q2,Standard 40 TFSI quattro,₹ 36.99 Lakh,Jun-21,"15,754 km",Petrol,188 bhp @ 4200 rpm ,Automatic,Black,Not Available,First,Registered at,"2021 model tax paid, finance available, test drive available,less driven car, petrol.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
144,2019 Mercedes-Benz GLA,200 d Style,₹ 26.99 Lakh,Jun-19,"41,600 km",Diesel,FWD ,Automatic,Grey,Not Available,First,Registered at,"2019 model tax upto 2024, finance available, test drive available, 41600km running, Diesel.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
145,2015 Mercedes-Benz C-Class,C 220 CDI Style,₹ 22.75 Lakh,Jun-15,"35,000 km",Diesel,19.27 kmpl,Automatic,Silver,Not Available,Second,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available, Rear view Camera, Service History Available, VIP Number & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
146,2018 Audi Q5,35 TDI Technology,₹ 45.25 Lakh,Jun-18,"10,000 km",Diesel,"
",Automatic,Black,Not Available,First,Registered at,"Audi Q5 35tdi Quattro technology 2018 December done 10,000 km owned by a bengali bureaucrat top and variant with virtual cockpit display navigation touch screen music system
the car is in brand new condition
the car can be inspected at Bharat petroleum pump opposite jodhpur park",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
147,2015 Honda Jazz,V Petrol,₹ 4.75 Lakh,Jun-15,"42,231 km",Petrol,18.7 kmpl,Manual,Brown,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
148,2019 Mercedes-Benz C-Coupe,43 AMG 4MATIC,₹ 67 Lakh,Jun-19,"21,100 km",Petrol,385 bhp @ 5500 rpm ,Automatic,Red,Not Available,First,Registered at,"Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Excellent Condition, Less Driven, Original Paint, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
149,2019 Jeep Compass,Limited (O) 1.4 Petrol AT [2017-2020],₹ 14 Lakh,Jun-19,"43,900 km",Petrol,FWD ,Automatic,Grey,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available, VIP Number & Warranty Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
150,2018 Mercedes-Benz GLS,Grand Edition Diesel,₹ 68 Lakh,Jun-18,"36,000 km",Diesel,AWD ,Automatic,Blue,Not Available,First,Registered at,"Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Excellent Condition, Less Driven, Original Paint, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
151,2014 Porsche Panamera,3.0 Diesel,₹ 44 Lakh,Jun-14,"28,800 km",Diesel,AWD ,Automatic,Blue,Not Available,First,Registered at,"Non Accidental, Single Owner, Excellent Condition, Less Driven & Original Paint",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
152,2019 Tata Harrier,XZ [2019-2020],₹ 14.5 Lakh,Jun-19,"28,000 km",Diesel,FWD ,Manual,Orange,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available & VIP Number",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
